,ID,Major_RGI_Region,Mountain_range_Region,Country,Glacier,RGI_Glacier_Area,Lake,Lake_type,Longitude,Latitude,River,Date,Date_Min,Date_Max,Mechanism,Mean_Flood_Volume_V0,Peak_discharge_Qp,Impact_and_destruction,reported_impacts,Further_comments,First_reference_found,Lake_area_before,Perimeter_before,Image_date_before,Satellite_before,Certainty_level_before,Lake_area_after,Perimeter_after,Image_date_after,Satellite_after,Certainty_level_after,Year
2,1.0,unknown,unknown,Greenland,,238.201,Iluliallup Tasersua,ice,-51.815633,65.77412,unknown,,,,unknown,,,,unknown,lake known to drain every five to seven years; estimated flood volume for that lake from aerial images: 6400 * 106 m³,1966.0,,,,unknown,0.0,,,,unknown,0.0,
3,2.0,unknown,unknown,Greenland,Sermilik Bræ,,Imaersartoq,ice,-48.454648,61.954559,unknown,,,,unknown,,,,unknown,"drains annualy, usually in early august (probably in the last 200 years)",1970.0,,,,unknown,0.0,,,,unknown,0.0,
4,3.0,unknown,unknown,Greenland,Sermiligårssuk Bræ,,North Midternæs temporary lake,ice,-47.965525,61.676943,unknown,,,1942-07-24 00:00:00,tunnelling,,,,unknown,approximate volume of water released at times of drainage is 70 *106 m³; drains usually annually in late July,1970.0,,,,unknown,0.0,,,,unknown,0.0,
5,4.0,unknown,unknown,Greenland,Sermilik Bræ,,Imaersartoq,ice,-48.454648,61.954559,unknown,,,,unknown,,,,unknown,"drains annualy, usually in early august (probably in the last 200 years)",1970.0,,,,unknown,0.0,,,,unknown,0.0,
6,5.0,unknown,unknown,Greenland,Sermiligårssuk Bræ,,North Midternæs temporary lake,ice,-47.965525,61.676943,unknown,,,,tunnelling,,,,unknown,approximate volume of water released at times of drainage is 70 *106 m³; drains usually annually in late July,1970.0,,,,unknown,0.0,,,,unknown,0.0,
7,6.0,unknown,unknown,Greenland,Sermilik Bræ,,Imaersartoq,ice,-48.454648,61.954559,unknown,,,,unknown,,,,unknown,"drains annualy, usually in early august (probably in the last 200 years)",1970.0,,,,unknown,0.0,,,,unknown,0.0,
8,7.0,unknown,unknown,Greenland,Sermiligårssuk Bræ,,North Midternæs temporary lake,ice,-47.965525,61.676943,unknown,,,,tunnelling,,,,unknown,approximate volume of water released at times of drainage is 70 *106 m³; drains usually annually in late July,1970.0,,,,unknown,0.0,,,,unknown,0.0,
9,8.0,unknown,unknown,Greenland,Russell Glacier,,unknown,ice,-50.074816,67.136675,Watson River,,,,unknown,,,,unknown,unknown,2019.0,,,,unknown,0.0,,,,unknown,0.0,
10,9.0,unknown,unknown,Greenland,Sermilik Bræ,,Imaersartoq,ice,-48.454648,61.954559,unknown,,,,unknown,,,,unknown,"drains annualy, usually in early august (probably in the last 200 years)",1970.0,,,,unknown,0.0,,,,unknown,0.0,
11,10.0,unknown,unknown,Greenland,Sermiligårssuk Bræ,,North Midternæs temporary lake,ice,-47.965525,61.676943,unknown,,,,tunnelling,,,,unknown,approximate volume of water released at times of drainage is 70 *106 m³; drains usually annually in late July,1970.0,,,,unknown,0.0,,,,unknown,0.0,
